item,Description,branch
075041,AEONIUM ARBORESCENS TIP TOP TM,170000
079092,AEONIUM CANARIENSE,170000
06358UT,AEONIUM KIWI,170000
063581,AEONIUM KIWI,170000
074901,AEONIUM MANRIQUEORUM ZWARTKOP,170000
068732,AEONIUM SUNBURST,170000
068742,AEONIUM TABULIFORME,170000
06352UT,AEONIUM VOODOO,170000
063521,AEONIUM VOODOO,170000
074722,AGAVE ATTENUATA RAY OF LIGHT,170000
074725,AGAVE ATTENUATA RAY OF LIGHT,170000
034822,AGAVE BRACTEOSA,170000
074122,AGAVE BRACTEOSA CALAMAR,170000
068762,AGAVE DESMETIANA JOE HOAK,170000
068765,AGAVE DESMETIANA JOE HOAK,170000
027425,AGAVE DESMETTIANA,170000
027429,AGAVE DESMETTIANA,170000
021595,AGAVE DESMETTIANA VARIEGATA,170000
021599,AGAVE DESMETTIANA VARIEGATA,170000
074132,AGAVE DURANGO,170000
070492,AGAVE FERDINAND REGIS,170000
068771S,AGAVE FILIFERA,170000
068772,AGAVE FILIFERA,170000
021612,AGAVE GEMINIFLORA,170000
021615,AGAVE GEMINIFLORA,170000
02161M,AGAVE GEMINIFLORA,170000
068791S,AGAVE NEOMEXICANA,170000
068792,AGAVE NEOMEXICANA,170000
092822,AGAVE OCA X ATT BLUE GLOW,170000
092825,AGAVE OCA X ATT BLUE GLOW,170000
025222,AGAVE PARRYI VAR TRUNCATA,170000
068812,AGAVE POTATORUM KISSHO KAN,170000
025233,AGAVE SCH DURANGO DELIGHT TM,170000
074172,AGAVE UTAHENSIS SSP UTAHENSIS,170000
025242,AGAVE VICTORIA-REGINAE,170000
094365,AGAVE WEBERI,170000
06408UT,ALOE BLUE ELF,170000
064081,ALOE BLUE ELF,170000
064081S,ALOE BLUE ELF,170000
064082,ALOE BLUE ELF,170000
069032,ALOE BREVIFOLIA VARIEGATA,170000
063801,ALOE DOROTHEAE,170000
063802,ALOE DOROTHEAE,170000
079102,ALOE HYBRID ALWAYS RED TM,170000
077801,ALOE HYBRID CARMINE TM,170000
063791,ALOE HYBRID CHRISTMAS CAROL,170000
077811,ALOE HYBRID DONNIE TM,170000
077781,ALOE HYBRID GUIDO TM,170000
077791,ALOE HYBRID SAL TM,170000
079112,ALOE HYBRID SUPER RED R,170000
079122,ALOE MACULATA,170000
075171,ALOE PINK BLUSH,170000
047322,ALOE POLYPHYLLA,170000
064221,ALOE RUDIKOPPE,170000
064221S,ALOE RUDIKOPPE,170000
064222,ALOE RUDIKOPPE,170000
079132,ALOE SAPONARIA,170000
064232,ALOE STRIATA,170000
064235,ALOE STRIATA,170000
069051S,ALOE VARIEGATA,170000
069055,ALOE VARIEGATA,170000
069061,ALOE X SPINOSISSIMA,170000
079142,BESCHORNERIA FLAMINGO GLOW TM,170000
072792,BESCHORNERIA SEPTENTRIONALIS,170000
085872,BULBINE FRUTESCENS,170000
06918UT,BULBINE FRUTESCENS ORANGE,170000
069181,BULBINE FRUTESCENS ORANGE,170000
069182,BULBINE FRUTESCENS ORANGE,170000
075772,CALANDRINIA SHINING PINK,170000
074161,COTYLEDON ORB SILVER CLOUD,170000
069201,COTYLEDON ORBICULATA,170000
063641,CRASSULA CAPITELLA CAMPFIRE,170000
078231,CRASSULA CLAVATA,170000
079261,CRASSULA PEL CALICO KITTEN,170000
025345,DASYLIRION LONGISSIUM,170000
025349,DASYLIRION LONGISSIUM,170000
034845,DASYLIRION TEXANUM,170000
029585,DASYLIRION WHEELERI,170000
03420UT,DELOSPERMA COOPERI,170000
034201,DELOSPERMA COOPERI,170000
04854UT,DELOSPERMA DY RED MOUNTAIN R,170000
048541,DELOSPERMA DY RED MOUNTAIN R,170000
078741,DELOSPERMA FIRE SPINNER R,170000
08467UT,DELOSPERMA JL OF DSRT RUBY PAF,170000
084671,DELOSPERMA JL OF DSRT RUBY PAF,170000
05946UT,DELOSPERMA MESA VERDE PP13876,170000
059461,DELOSPERMA MESA VERDE PP13876,170000
05947UT,DELOSPERMA NUB BASUTOLAND,170000
059471,DELOSPERMA NUB BASUTOLAND,170000
07584UT,DELOSPERMA NUB HARDY,170000
07585UT,DELOSPERMA WHITE NUGGET,170000
057791,DUDLEYA PULVERULENTA,170000
069211,ECHEVERIA AGAVOIDES LIPSTICK,170000
06350UT,ECHEVERIA BLACK PRINCE,170000
063501,ECHEVERIA BLACK PRINCE,170000
063501S,ECHEVERIA BLACK PRINCE,170000
067501S,ECHEVERIA CANTE WHITE CLOUD,170000
067502,ECHEVERIA CANTE WHITE CLOUD,170000
079151,ECHEVERIA DERENBERGII,170000
079161,ECHEVERIA ELEGANS,170000
073801,ECHEVERIA GIBBIFLORA METALLICA,170000
073822,ECHEVERIA HAAGI TOLIMAENSIS,170000
077831S,ECHEVERIA HYB RED GLO TM,170000
06863UT,ECHEVERIA IMBRICATA,170000
068631,ECHEVERIA IMBRICATA,170000
068631S,ECHEVERIA IMBRICATA,170000
069231S,ECHEVERIA NODULOSA,170000
077821,ECHEVERIA PERLE VON NURNBERG,170000
073812,ECHEVERIA ROUNDLEAF,170000
064111,ECHEVERIA RUFFLES,170000
063481,ECHEVERIA RUNYONII TOPSY TURVY,170000
073791,ECHEVERIA SETOSA,170000
063491,ECHEVERIA SHAVIANA,170000
063451,ECHEVERIA SUBRIGIDA,170000
069241,ECHINOCEREUS TRIG INERMIS,170000
030562,ECHINOPSIS OXYGONA,170000
059781,EUPHORBIA BLACKBIRD,170000
059791,EUPHORBIA C GLACIER BL PP19027,170000
05980UT,EUPHORBIA DIAMOND FROST,170000
071501,EUPHORBIA PUNICEA,170000
071502,EUPHORBIA PUNICEA,170000
059811,EUPHORBIA X SHORTY PPAF,170000
079171,GRAPTOPETALUM BELLUM,170000
077841,GRAPTOPETALUM PARAGUAYENSE,170000
064181,HESPERALOE BRK LIGHTS R P21729,170000
064182,HESPERALOE BRK LIGHTS R P21729,170000
064185,HESPERALOE BRK LIGHTS R P21729,170000
034891,HESPERALOE PARV YELLOW,170000
034895,HESPERALOE PARV YELLOW,170000
040401,HESPERALOE PARVIFLORA,170000
040405,HESPERALOE PARVIFLORA,170000
069402,KALANCHOE THYR DESERT ROSE,170000
02085UT,LEWISIA COT LITTLE PLUM,170000
05785UT,LEWISIA COT RAINBOW MIX,170000
069461,MANFREDA MAC SILVER LEOPARD,170000
077731S,MANFREDA X BLOODSPOT,170000
047815,NOLINA MICROCARPA,170000
069502,OPUNTIA BASILARIS BABY RITA,170000
077872,OPUNTIA CACANAPA ELLISIANA,170000
034912,OPUNTIA MIC ALBISPINA,170000
039152,OPUNTIA MICRODASYS,170000
077881,OPUNTIA POLYCANTHA,170000
025463,OPUNTIA SANTA-RITA TUBAC TM,170000
069701,OTHONNA CAPENSIS,170000
079181,PACHYPHYTUM HOOKERI,170000
079191,PACHYPHYTUM OVIFERUM,170000
069681,PEDIOCACTUS SIMPSONII MINOR,170000
079201,ROSULARIA CHRYSANTHA,170000
079251,SEDEVERIA HYBRID JET BEADS,170000
06501UT,SEDUM ACRE,170000
079211,SEDUM ADOLPHII,170000
06500UT,SEDUM ALB C BABY TEARS,170000
03026UT,SEDUM ALB CORAL CARPET,170000
030261,SEDUM ALB CORAL CARPET,170000
063691,SEDUM ALB MEDIOVARIEGATUM,170000
079221,SEDUM ANGELICUM,170000
06812UT,SEDUM BLACK BEAUTY R,170000
068121,SEDUM BLACK BEAUTY R,170000
02914UT,SEDUM BLUE SPRUCE,170000
029141,SEDUM BLUE SPRUCE,170000
07094UT,SEDUM BRONZE CARPET,170000
070941,SEDUM BRONZE CARPET,170000
054641,SEDUM CRYSTAL PINK PPAF,170000
06502UT,SEDUM DASYPHYLLUM MAJOR,170000
065021,SEDUM DASYPHYLLUM MAJOR,170000
03028UT,SEDUM DRAGON'S BLOOD,170000
055471,SEDUM FORSTERIANUM ORACLE,170000
011811,SEDUM FROSTY MORN,170000
069751,SEDUM GLAUCOPHYLLUM,170000
06505UT,SEDUM GLOBOSUM OLD MAN'S BONES,170000
068671,SEDUM HISPANICUM,170000
047242,SEDUM HOT STUFF P17212,170000
01182UT,SEDUM JOHN CREECH,170000
011821,SEDUM JOHN CREECH,170000
06507UT,SEDUM KAMTSCHATICUM,170000
074381,SEDUM KAMTSCHATICUM VARIEGATUM,170000
079231,SEDUM LITTLE GEM,170000
06511UT,SEDUM LYDIUM,170000
065111,SEDUM LYDIUM,170000
06514UT,SEDUM MAKINOI LIMELIGHT,170000
065141,SEDUM MAKINOI LIMELIGHT,170000
02185UT,SEDUM MAKINOI OGON,170000
021851,SEDUM MAKINOI OGON,170000
049971,SEDUM MR. GOODBUD PPAF,170000
049971S,SEDUM MR. GOODBUD PPAF,170000
049972,SEDUM MR. GOODBUD PPAF,170000
079241,SEDUM OBTUSATUM,170000
04826UT,SEDUM OREGANUM,170000
048261,SEDUM OREGANUM,170000
06524UT,SEDUM PACHYCLADOS,170000
065241,SEDUM PACHYCLADOS,170000
02871UT,SEDUM PURPLE EMPEROR,170000
028711,SEDUM PURPLE EMPEROR,170000
03621UT,SEDUM RED CAULI,170000
036211,SEDUM RED CAULI,170000
077891,SEDUM REFLEXUM LEMON CORAL,170000
06533UT,SEDUM REQUINEI,170000
06367UT,SEDUM RUBROTINCTUM AURORA,170000
063671,SEDUM RUBROTINCTUM AURORA,170000
04487UT,SEDUM RUP ANGELINA PPAF,170000
044871,SEDUM RUP ANGELINA PPAF,170000
06368UT,SEDUM SIEBOLDII,170000
063681,SEDUM SIEBOLDII,170000
063681S,SEDUM SIEBOLDII,170000
03428UT,SEDUM SPATH CAPE BLANCO,170000
034281,SEDUM SPATH CAPE BLANCO,170000
03517UT,SEDUM SPURIUM VOODOO,170000
035171,SEDUM SPURIUM VOODOO,170000
08748UT,SEDUM SSPKLR R CHERRY TART PAF,170000
087481,SEDUM SSPKLR R CHERRY TART PAF,170000
00733UT,SEDUM SSPRKLR R DZLBRY PP22457,170000
00730UT,SEDUM SSPRKLR R LIME ZNGR PPAF,170000
046311,SEDUM STRAWBERRIES & CREAM,170000
042721,SEDUM TATARINOWII,170000
039011,SEDUM TELEPHIUM RUP HAB GRAY,170000
039011S,SEDUM TELEPHIUM RUP HAB GRAY,170000
058541,SEDUM TELEPHIUM XENOX PP16888,170000
06987UT,SEDUM TETRACTINUM CORAL REEF,170000
069871,SEDUM TETRACTINUM CORAL REEF,170000
07073UT,SEDUM TRICOLOR,170000
070731,SEDUM TRICOLOR,170000
07091UT,SEDUM VERA JAMESON,170000
070911,SEDUM VERA JAMESON,170000
02504UT,SEDUM X AUTUMN FIRE,170000
025041,SEDUM X AUTUMN FIRE,170000
07074UT,SEDUM X AUTUMN JOY,170000
070741,SEDUM X AUTUMN JOY,170000
070741S,SEDUM X AUTUMN JOY,170000
039001,SEDUM X CARL,170000
068661,SEMPERVIVUM ARACH CEBENESE,170000
08673UT,SEMPERVIVUM ARACH COBWEB,170000
069971,SEMPERVIVUM ARACH RED COBWEB,170000
06550UT,SEMPERVIVUM ARACHNOIDEUM,170000
065501,SEMPERVIVUM ARACHNOIDEUM,170000
06559UT,SEMPERVIVUM BLACK,170000
065591,SEMPERVIVUM BLACK,170000
06560UT,SEMPERVIVUM GREEN WHEEL,170000
065601,SEMPERVIVUM GREEN WHEEL,170000
06598UT,SEMPERVIVUM HARDY MIX,170000
077901,SEMPERVIVUM HYBRID VORTEX TM,170000
069881,SEMPERVIVUM JUNGLE SHADOWS,170000
06561UT,SEMPERVIVUM KREBS DES ROSE,170000
065611,SEMPERVIVUM KREBS DES ROSE,170000
06563UT,SEMPERVIVUM RED RUBIN,170000
08613UT,SEMPERVIVUM REGAL,170000
074141,SEMPERVIVUM ROYAL RUBY,170000
04491UT,SEMPERVIVUM RUBIKON,170000
044911,SEMPERVIVUM RUBIKON,170000
05696UT,SEMPERVIVUM RUBY HEARTS,170000
056961,SEMPERVIVUM RUBY HEARTS,170000
070011,SEMPERVIVUM SILVER KING,170000
07007UT,SEMPERVIVUM TECTORUM GREENII,170000
070071,SEMPERVIVUM TECTORUM GREENII,170000
068681,SENECIO MANDRALISCAE,170000
070231,SENECIO SERPENS,170000
077911,SENECIO VITALIS SERPENTS,170000
06527UT,Use Item # 06368UT,170000
047825,YUCCA BACCATA,170000
047835,YUCCA ELATA,170000
090151,YUCCA FIL COLOR GUARD,170000
090152,YUCCA FIL COLOR GUARD,170000
077231,YUCCA FIL GOLDEN SWORD,170000
077232,YUCCA FIL GOLDEN SWORD,170000
077235,YUCCA FIL GOLDEN SWORD,170000
077221,YUCCA FIL IVORY TOWER,170000
077222,YUCCA FIL IVORY TOWER,170000
077225,YUCCA FIL IVORY TOWER,170000
050341,YUCCA GLO BRIGHT STAR PP17653,170000
050342,YUCCA GLO BRIGHT STAR PP17653,170000
050345,YUCCA GLO BRIGHT STAR PP17653,170000
092572,YUCCA GLORIOSA VARIEGATA,170000
092575,YUCCA GLORIOSA VARIEGATA,170000
077362,YUCCA R BANANA SPLIT R P14616,170000
077365,YUCCA R BANANA SPLIT R P14616,170000
077367,YUCCA R BANANA SPLIT R P14616,170000
077351,YUCCA RECURV (PENDULA),170000
077355,YUCCA RECURV (PENDULA),170000
077357,YUCCA RECURV (PENDULA),170000
074015,YUCCA RIGIDA,170000
074019,YUCCA RIGIDA,170000
022245,YUCCA ROS SAPPHIRE SKIES,170000
025561,YUCCA ROSTRATA,170000
025565,YUCCA ROSTRATA,170000
025569,YUCCA ROSTRATA,170000
