Branch,item,description,Order Quantity,Plant Category,Zone,Common Name,Intro Year,Price Code,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Condition,Current Specs,Plant Status
CA,028342,ABELIA GRA KALEIDOSCOPE P16988, ,EVS,06,Kaleidoscope Abelia                                                                                 ,2007,QTYDISC,     , 5 , 100 ,     ,     ,     ,WINTER COLOR,"10""H - 12""S",
CA,000405,ACANTHUS OAK LEAF, ,PRN,06,Grecian Pattern Plant                                                                               ,    ,QTYDISC,     , 5 , 75 ,     ,     ,     ,-,"15""H",PS1
CA,001882,AGAPANTHUS X MIDKNIGHT BLUE R, ,DCS,06,Midknight Blue®  Agapanthus                                                                         ,1995,QTYDISC, 18.50 , 5 , 100 ,     ,     ,     ,EMERGING,5-7 FANS,
CA,094365,AGAVE WEBERI, ,CAC,08,Weber's Agave                                                                                       ,2009,,     , 5 , 5 ,     ,     ,     ,-,"18""S",PS1
CA,066382,ALST ROCK & ROLL R PP21001, ,PRN,08,Rock & Roll®  Peruvian Lily                                                                         ,2014,, 18.50 , 5 , 14 ,     ,     ,     ,BUDS,CAN FULL,PS1
OR,050021,BEESIA DELTOPHYLLA, ,PRN,06,Beesia                                                                                              ,2010,QTYDISC, 8.50 , 10 , 300 ,     ,     ,     ,-,,PS0
OR,035232,BER T GOLDEN RUBY R PP16203, ,DCS,04,Golden Ruby®  Barberry                                                                              ,2009,QTYDISC, 21.50 , 5 , 322 ,     ,     ,     ,BREAKING DORMANCY,8''H - 12''S,
OR,062932,BER T ORANGE ROCKET PP18411, ,DCS,04,Orange Rocket Barberry                                                                              ,2012,QTYDISC, 21.50 , 5 , 100 ,     ,     ,     ,DORMANT,"18''H - 8""S",
OR,062935,BER T ORANGE ROCKET PP18411, ,DCS,04,Orange Rocket Barberry                                                                              ,2012,QTYDISC, 37.50 , 5 , 150 ,     ,     ,     ,DORMANT,21''H - 10''S,
OR,012202,BER T ROSE GLOW, ,DCS,04,Rose Glow Japanese Barberry                                                                         ,    ,SPRSPCL, 16.50 , 5 , 150 ,     ,     ,     ,DORMANT,15''H - 14''S,
OR,012205,BER T ROSE GLOW, ,DCS,04,Rose Glow Japanese Barberry                                                                         ,    ,SPRSPCL,     , 5 , 75 ,     ,     ,     ,DORMANT,15''H - 15''S,
OR,022021,BERGENIA COR WINTERGLOW, ,PRN,03,Winterglow Bergenia                                                                                 ,2005,QTYDISC, 8.50 , 10 , 150 ,     ,     ,     ,-,,PS0
CA VH,022327,CAM S YULETIDE, ,CAM,07,Yuletide Camellia                                                                                   ,    ,, 95.00 , 2 , 8 ,     ,     ,     ,-,48''H -24''S,
OR,048622,CHOISYA TERN SUNDANCE, ,EVS,07,Sundance Mexican Orange Blossom                                                                     ,2010,QTYDISC, 24.50 , 5 , 50 ,     ,     ,     ,-,16''H - 12''S,
OR,024352,CHOISYA TERNATA, ,EVS,07,Mexican Orange Blossom                                                                              ,1993,QTYDISC, 21.50 , 5 , 200 ,     ,     ,     ,BUDS,14''H - 12''S,
OR,039512,CIMI S BLACK NEGLIGEE (ACTAEA), ,PRN,03,Black Negligee Snakeroot                                                                            ,2007,, 24.50 , 5 , 17 ,     ,     ,     ,DORMANT,.,PS0
CA,031725,CORDYLINE BAUERI, ,EVS,09,Bauer's Dracaena Palm                                                                               ,1994,, 37.50 , 5 , 5 ,     ,     ,     ,-,"30""H",
OR,030735,CUP SEMP TINY TOWER R PP12933, ,CON,07,Tiny Tower®  Italian Cypress                                                                        ,2001,, 40.00 , 5 , 20 ,     ,     ,     ,-,"36""H",
CA,030735,CUP SEMP TINY TOWER R PP12933, ,CON,07,Tiny Tower®  Italian Cypress                                                                        ,2001,, 40.00 , 5 , 48 ,     ,     ,     ,-,"48""H",
CA,030737,CUP SEMP TINY TOWER R PP12933, ,CON,07,Tiny Tower®  Italian Cypress                                                                        ,2001,, 85.00 , 2 , 26 ,     ,     ,     ,-,,
CA,062005,ENSETE MAURELII, ,PRN,10,Red Leaved Banana                                                                                   ,    ,QTYDISC, 45.50 , 5 , 75 ,     ,     ,     ,-,"36""H",PS1
OR,035645,FATSIA JAPONICA, ,EVS,08,Japanese Aralia                                                                                     ,    ,, 32.50 , 5 , 30 ,     ,     ,     ,-,,
CA,035645,FATSIA JAPONICA, ,EVS,08,Japanese Aralia                                                                                     ,    ,QTYDISC, 32.50 , 5 , 75 ,     ,     ,     ,-,,
OR,036451,FERN-MATTEUCCIA STRUTHIOPTERIS, ,FRN,03,European Ostrich Fern                                                                               ,2002,QTYDISC, 9.50 , 10 , 150 ,     ,     ,     ,CUT BACK,"8""S",
CA,036785,FICUS CAR BROWN TURKEY, ,TRE,07,Brown Turkey Fig                                                                                    ,    ,,     , 5 , 20 ,     ,     ,     ,BREAKING DORMANCY,"36""H",
OR,051112,FUCHSIA DEBRON'S STORMY NIGHT, ,DCS,07,DebRon's Stormy Night Fuchsia                                                                       ,2011,QTYDISC, 21.50 , 5 , 61 ,     ,     ,     ,-,"16""H - 12""S",
OR,049862,FUCHSIA GENII AUREA, ,DCS,07,Hardy Fuchsia                                                                                       ,2009,QTYDISC, 21.50 , 5 , 60 ,     ,     ,     ,-,"12""H - 12""S",
CA,028045,GR-CORT IVORY FEATHERS R, ,GRS,07,Ivory Feathers®  Dwarf Pampas Grass                                                                 ,1991,QTYDISC, 27.50 , 5 , 75 ,     ,     ,     ,WINTER COLOR,"17""H",
CA,036671,GR-FESTUCA GLAUCA ELIJAH BLUE, ,GRS,04,Elijah Blue Fescue                                                                                  ,1994,SPRSPCL, 6.50 , 10 , 150 ,     ,     ,     ,-,,
CA,023101,HEUCHERA FROSTED VIOLET P15085, ,PRN,04,Frosted Violet Coral Bells                                                                          ,2005,QTYDISC, 6.50 , 10 , 150 ,     ,     ,     ,-,CAN FULL,PS1
OR,041472,HOSTA EOLA SAPPHIRE, ,PRN,03,Eola Sapphire Plantain Lily                                                                         ,1999,QTYDISC, 18.50 , 5 , 100 ,     ,     ,     ,DORMANT,2-3 EYES,PS0
OR,083972,HOSTA SUM & SUBSTANCE, ,PRN,04,Sum & Substance Hosta                                                                               ,2001,QTYDISC, 18.50 , 5 , 58 ,     ,     ,     ,DORMANT,.,PS0
OR,056452,HYD ASPERA PLUM PASSION R, ,DCS,07,Plum Passion®  Hydrangea                                                                            ,2013,QTYDISC, 21.50 , 5 , 100 ,     ,     ,     ,BREAKING DORMANCY,12''H - 12''S,
CA,092752,HYD BLUE ENCHANTRESS R PP25209, ,DCS,05,Blue Enchantress®  Hydrangea                                                                        ,2013,SPRSPCL, 21.50 , 5 , 100 ,     ,     ,     ,BREAKING DORMANCY,"7''H -10""S",
CA,074592S,HYD MAC LD R MOONLIGHT PP20020, ,DCS,05,Let's Dance®  Moonlight Hydrangea                                                                   ,2011,QTYDISC, 21.50 , 5 , 27 ,     ,     ,     ,BREAKING DORMANCY,"10""H - 12""S",
CA,042072,HYD MAC PINK ELF R (PIA), ,DCS,05,Pink Elf®  French Hydrangea                                                                         ,1992,QTYDISC, 21.50 , 5 , 100 ,     ,     ,     ,-,,
OR,056482,HYD SERRATA CHIRI-SAN SUE (DH), ,DCS,07,Chiri-san Sue Mountain Hydrangea                                                                    ,2014,,     , 5 , 25 ,     ,     ,     ,,,
CA,058205P2,LIGUSTRUM TEXANUM, ,EVS,07,Waxleaf Privet                                                                                      ,    ,QTYDISC, 85.00 , 2 , 30 ,     ,     ,     ,-,,
CA,058207P3,LIGUSTRUM TEXANUM, ,EVS,07,Waxleaf Privet                                                                                      ,    ,, 150.00 , 2 , 25 ,     ,     ,     ,-,,
CA,058207Y5,LIGUSTRUM TEXANUM, ,EVS,07,Waxleaf Privet                                                                                      ,    ,QTYDISC, 95.00 , 2 , 20 ,     ,     ,     ,-,,
CA,058209SP,LIGUSTRUM TEXANUM, ,EVS,07,Waxleaf Privet                                                                                      ,    ,QTYDISC, 185.00 , 1 , 15 ,     ,     ,     ,-,,
CA,058209Y5,LIGUSTRUM TEXANUM, ,EVS,07,Waxleaf Privet                                                                                      ,    ,QTYDISC, 125.00 , 1 , 15 ,     ,     ,     ,-,,
OR,058941,LITHODORA GRACE WARD, ,PRN,06,Grace Ward Lithodora                                                                                ,    ,SPRSPCL,     , 10 , 150 ,     ,     ,     ,-,,PS0
OR,060752,MAHONIA AQUIFOLIUM COMPACTA, ,EVS,05,Compact Oregon Grape Holly                                                                          ,    ,QTYDISC, 21.50 , 5 , 100 ,     ,     ,     ,-,12''H - 12''S,
CA,062222,NAND D SIENNA SUNRISE R P14693, ,EVS,06,Sienna Sunrise®  Heavenly Bamboo                                                                    ,2003,, 18.50 , 5 , 24 ,     ,     ,     ,WINTER COLOR,,
CA,062205,NAND DOMESTICA, ,EVS,06,Heavenly Bamboo                                                                                     ,    ,QTYDISC, 26.50 , 5 , 100 ,     ,     ,     ,WINTER COLOR,,
OR,016252,PAEONIA X BOWL OF CREAM (WT), ,PRN,04,Bowl Of Cream Double Herbaceous Peony                                                               ,2003,, 30.00 , 5 , 25 ,     ,     ,     ,DORMANT,5+ EYES,PS0
OR,050282,PAEONIA X BUCKEYE BELLE (RED), ,PRN,04,Buckeye Belle Herbaceous Peony                                                                      ,2009,, 30.00 , 5 , 25 ,     ,     ,     ,DORMANT,.,PS0
OR,063742,PAEONIA X KANSAS (RED), ,PRN,04,Kansas Double Peony                                                                                 ,2003,SPRSPCL, 24.50 , 5 , 75 ,     ,     ,     ,DORMANT,5+ EYES,PS0
OR,034652,PHYSOCARPUS CENTER GLOW P16894, ,DCS,02,Center Glow Ninebark                                                                                ,2007,QTYDISC, 18.50 , 5 , 84 ,     ,     ,     ,DORMANT,10''H - 10''S,
CA,016582,PITT TEN GOLF BALL P15329, ,EVS,08,Golf Ball Kohuhu                                                                                    ,2005,, 24.50 , 5 , 50 ,     ,     ,     ,-,,
OR,051422,PITT TEN TASMAN RUFFLES, ,EVS,07,Tasman Ruffles Pittosporum                                                                          ,2013,QTYDISC, 27.50 , 5 , 100 ,     ,     ,     ,-,,
OR,066692,POTENTILLA ABBOTSWOOD, ,DCS,03,Abbotswood Potentilla                                                                               ,    ,, 18.50 , 5 , 21 ,     ,     ,     ,BREAKING DORMANCY,10''H - 12''S,
OR,066802,POTENTILLA GOLD STAR, ,DCS,03,Gold Star Potentilla                                                                                ,    ,, 18.50 , 5 , 62 ,     ,     ,     ,BREAKING DORMANCY,12''H - 12''S,
OR,067152,PRUNUS LAUR OTTO LUYKEN, ,EVS,06,Otto Luyken English Laurel                                                                          ,    ,QTYDISC,     , 5 , 120 ,     ,     ,     ,SHOT HOLE,"22""H - 16""S",
CA,068015,PUNICA GR ANGEL RED R PP16578, ,DCS,07,Angel Red®  Pomegranate                                                                             ,2010,SPRSPCL, 37.50 , 5 , 75 ,     ,     ,     ,BREAKING DORMANCY,"21""H - 15""S",
OR,046752,RHAPH U RUTRHAPH STHRN MOON TM, ,EVS,07,Southern Moon®  Yedda Hawthorn                                                                      ,2010,, 21.50 , 5 , 100 ,     ,     ,     ,-,14''H - 14''S,
CA,046752,RHAPH U RUTRHAPH STHRN MOON TM, ,EVS,07,Southern Moon®  Yedda Hawthorn                                                                      ,2010,, 21.50 , 5 , 306 ,     ,     ,     ,BUDS,"10""H - 12""S",
OR,010052,RHOD (H-1) RAMAPO, ,RHO,04,Ramapo Rhododendron                                                                                 ,    ,QTYDISC, 21.50 , 5 , 200 ,     ,     ,     ,BUDS,14''H - 14''S,
OR,009505,RHOD (H-3) JEAN MARIE DE MNTGE, ,RHO,06,Jean Marie De Montague Rhododendron                                                                 ,    ,QTYDISC, 35.00 , 5 , 75 ,     ,     ,     ,BUDS,18''H - 18''S,
CA,036292,ROSA FLWR CAR R AMBER PPAF, ,ROS,04,Flower Carpet®  Amber Groundcover Rose                                                              ,2009,SPRSPCL, 21.50 , 5 , 50 ,     ,     ,     ,WINTER LOOK,"10""H - 12""S",
CA,036382,ROSA FLWR CAR R PNK SUP P16276, ,ROS,04,Flower Carpet®  Pink Supreme Ground Cover Rose                                                      ,2008,SPRSPCL, 21.50 , 5 , 50 ,     ,     ,     ,WINTER LOOK,"6""H - 10""S",
CA,071602,ROSA FLWR CAR R RED P11308, ,ROS,04,Flower Carpet®  Red Groundcover Rose                                                                ,2000,SPRSPCL, 21.50 , 5 , 50 ,     ,     ,     ,WINTER LOOK,6''H - 10''S,
CA,070212,ROSA FLWR CAR R WHITE P9573, ,ROS,05,Flower Carpet®  White Groundcover Rose                                                              ,2002,SPRSPCL, 21.50 , 5 , 50 ,     ,     ,     ,WINTER LOOK,"8""H - 12""S",
OR,025961,RUBUS CALYCINOIDES, ,PRN,07,Creeping Bramble                                                                                    ,2004,QTYDISC, 7.50 , 10 , 93 ,     ,     ,     ,,CAN FULL,PS0
CA,079382,RUBUS RSPBRY SHRTCKE TM P22141, ,DCS,05,BrazelBerries®  Raspberry Shortcake™  Dwarf Thor                                                    ,2013,QTYDISC, 21.50 , 5 , 100 ,     ,     ,     ,DORMANT,"10""H - 10"":S",
OR,070612,SALIX INTEGRA HAKURO NISHIKI, ,DCS,04,Dappled Willow                                                                                      ,    ,SPRSPCL, 18.50 , 5 , 50 ,     ,     ,     ,DORMANT,14''H - 14''S,
OR,071082,SKIMMIA REEVESIANA, ,EVS,07,Reeves Skimmia                                                                                      ,    ,QTYDISC, 27.50 , 5 , 100 ,     ,     ,     ,-,,
OR,071572,SPIRAEA JAP MAGIC CARPET P9363, ,DCS,04,Magic Carpet Spirea                                                                                 ,2001,QTYDISC, 16.50 , 5 , 116 ,     ,     ,     ,BREAKING DORMANCY,10''H - 12''S,
OR,072342,TAXUS EMERALD SPREADR R P10335, ,CON,04,Emerald Spreader®  Japanese Yew                                                                     ,    ,QTYDISC, 18.50 , 5 , 400 ,     ,     ,     ,-,,
OR,072332,TAXUS X MEDIA HICKSII, ,CON,04,Hicks Yew                                                                                           ,1994,QTYDISC, 21.50 , 5 , 48 ,     ,     ,     ,-,,
CA,070055,TRACH JASMINOIDES, ,VIN,08,Star Jasmine                                                                                        ,    ,QTYDISC, 32.50 , 5 , 68 ,     ,     ,     ,WINTER COLOR,"14""H - 15""S",
CA,070055ES,TRACH JASMINOIDES, ,VIN,08,Star Jasmine                                                                                        ,    ,QTYDISC, 85.00 , 2 , 30 ,     ,     ,     ,WINTER COLOR,"40""H - 42""S",
CA,070055ST,TRACH JASMINOIDES, ,VIN,08,Star Jasmine                                                                                        ,    ,QTYDISC, 35.00 , 5 , 89 ,     ,     ,     ,WINTER COLOR,"36""H",
OR,056232,VACC BOUNTIFUL BLUE R PP19381, ,DCS,06,Bountiful Blue®  Blueberry                                                                          ,2010,QTYDISC, 21.50 , 5 , 100 ,     ,     ,     ,BUDS,12''H - 10''S,
CA,056232,VACC BOUNTIFUL BLUE R PP19381, ,DCS,06,Bountiful Blue®  Blueberry                                                                          ,2010,SPRSPCL, 21.50 , 5 , 200 ,     ,     ,     ,BUDS & BLOOMS,"15""H - 12""S",
CA,081712,VACCINIUM PEACH SORBET TM PPAF, ,DCS,05,BrazelBerries®  Peach Sorbet™  Blueberry                                                            ,2013,SPRSPCL, 24.50 , 5 , 100 ,     ,     ,     ,-,,
OR,081702,VACCINIUM X JELLY BEAN TM PPAF, ,DCS,04,BrazelBerries®  Jelly Bean Blueberry                                                                ,2013,QTYDISC, 21.50 , 5 , 25 ,     ,     ,     ,BUDS,"10""H - 10""S",
OR,075102,VIB OPULUS STERILE, ,DCS,03,Eastern Snowball                                                                                    ,    ,QTYDISC, 21.50 , 5 , 50 ,     ,     ,     ,DORMANT,12''H - 12''S,
OR,076392,WEIGELA FL DARK HORSE PP14381, ,DCS,04,Dark Horse Weigela                                                                                  ,2002,QTYDISC, 21.50 , 5 , 99 ,     ,     ,     ,BREAKING DORMANCY,"10""H - 10""S",
OR,090152,YUCCA FIL COLOR GUARD, ,EVS,04,Color Guard Adam's Needle                                                                           ,2012,QTYDISC, 21.50 , 5 , 79 ,     ,     ,     ,-,,
,,Totals:,,,,,,,,," 6,908 ",,,,,,
