Loc,New Plant,Item,Size,Plant Name,Zone,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,2012,51315,#5,ABIES CONCOLOR CANDICANS,4,46.5,5,5,5,5,5/15/2015,     ,          ,     ,          
OR,2014,31825,#5,ACER PAL SHIN DESHOJO,5,58,5,5,5,5,5/1/2015,     ,          ,     ,          
OR,2010,30335,#5,ACER SHIR AUTUMN MOON,5,58,19,5,     ,19,5/1/2015,     ,          ,     ,          
OR,2011,47655,#5,AZALEA FRAGRANT STAR,5,23.5,     ,5,2,2,4/1/2015,2,6/1/2015,     ,          
CA,2011,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,4,10.5,20,10,     ,"1,298",3/1/2015,"1,298",4/1/2015,     ,          
OR,2014,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,4,10.5,14,10,14,     ,          ,     ,          ,     ,          
OR,2012,62935,#5,BER T ORANGE ROCKET PP18411,4,25.5,     ,5,     ,51,5/1/2015,     ,          ,     ,          
OR,2010,35241,#1,BER T PYGMY RUBY TM,4,7.5,19,10,19,     ,          ,     ,          ,     ,          
OR,2010,35242,#2,BER T PYGMY RUBY TM,4,15.5,     ,5,38,     ,          ,     ,          ,     ,          
CA,2011,074411S,SuperOne TM,BUD LO&BEHLD R BLU CHP PP19991,5,10.5,33,10,     ,501,11/15/2014,501,4/1/2015,     ,          
CA,2012,080811S,SuperOne TM,BUD LO&BEHLD R ICE CHIP PPAF,5,10.5,26,10,     ,26,4/1/2015,     ,          ,     ,          
CA,2011,077411S,SuperOne TM,BUD LO&BEHLD R PRPL HAZE PPAF,5,10.5,19,10,     ,19,4/1/2015,     ,          ,     ,          
CA,2012,077391S,SuperOne TM,BUDDLEJA MISS MOLLY PPAF,5,9.5,     ,10,     ,"1,407",4/1/2015,     ,          ,     ,          
CA,2011,74405,#5,BUDDLEJA X MISS RUBY PPAF,5,22.5,40,5,     ,66,11/15/2014,66,4/1/2015,     ,          
CA,2010,38425,#5,CERCIS C ACE OF HEARTS PP17161,5,40.5,13,5,     ,13,3/1/2015,     ,          ,     ,          
CA,2011,074441S,SuperOne TM,CHAEN DBLTKE TM OR STRM P20950,5,10.5,     ,10,     ,222,3/1/2015,222,4/1/2015,     ,          
CA,2011,074452S,SuperTwo,CHAEN DBLTKE TM PK STRM P20920,5,17,45,5,     ,401,3/1/2015,     ,          ,     ,          
CA,2011,074772S,SuperTwo,CHAEN DBLTKE TM SCR STRM PPAF,5,17,20,5,     ,168,3/1/2015,168,4/1/2015,     ,          
OR,2011,074782S,SuperTwo,CHAM PIS SOFT SERVE R PPAF,5,17,     ,5,36,     ,          ,     ,          ,     ,          
OR,2010,38571,#1 STAKED,CLEM ALP STOLWIJK GOLD PP18648,3,10,     ,10,373,     ,          ,     ,          ,     ,          
OR,2014,46252,#2 STAKED,CLEM LOUISE ROWE,4,18,5,5,18,18,5/1/2015,     ,          ,     ,          
CA,2013,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,4,10,50,10,     ,50,4/1/2015,     ,          ,     ,          
OR,2010,51481,#1 STAKED,CLEM VANCOUVER TM DANIELLE,4,10,     ,10,3,3,5/1/2015,     ,          ,     ,          
OR,2010,46275,#5 STAKED,CLEM VANCOUVER TM FRGRNT STAR,4,31.5,     ,5,81,81,5/1/2015,     ,          ,     ,          
OR,2010,48741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,4,10,15,10,     ,15,5/1/2015,     ,          ,     ,          
OR,2010,38081,#1 STAKED,CLEM VIT BETTY CORNING,3,9,16,10,16,     ,          ,     ,          ,     ,          
OR,2010,55201,#1 STAKED,CLEM X MRS. SPENCER CASTLE,4,9,10,10,     ,838,5/1/2015,     ,          ,     ,          
OR,2010,56212,#2 STAKED,CLEM X WESTERPLATTE,4,18,8,5,3,8,5/1/2015,     ,          ,     ,          
OR,2010,45281,#1,CORNUS ALBA PRAIRIE FIRE AUREA,2,8.25,     ,10,50,50,10/15/2014,     ,          ,     ,          
OR,2011,74805,#5,CORNUS S ARCTIC FIRE TM P18523,3,24,     ,5,     ,819,6/1/2015,     ,          ,     ,          
OR,2013,080841S,SuperOne TM,CORNUS STO PUCKERED UP TM PPAF,3,9.5,10,10,232,     ,          ,     ,          ,     ,          
OR,2011,077431S,SuperOne TM,FORS X SHOW OFF TM STARLT PAF,4,10.5,30,10,735,     ,          ,     ,          ,     ,          
OR,2012,074821S,SuperOne TM,FORSYTHIA X SHOW OFF TM P19321,4,10.5,20,10,20,     ,          ,     ,          ,     ,          
OR,2011,33975,#5,GINKGO BIL JADE BUTTERFLIES,4,35,10,5,10,     ,          ,     ,          ,     ,          
CA,2011,64181,#1,HESPERALOE BRK LIGHTS R P21729,5,9,60,10,     ,60,2/1/2015,     ,          ,     ,          
CA,2011,074501S,SuperOne TM,HIB SYR BLU CHIFFON TM PP20574,5,10.5,15,10,     ,37,4/1/2015,     ,          ,     ,          
CA,2011,074842S,SuperTwo,HIB SYR CHINA CHIFFON TM PPAF,5,17,15,5,     ,350,4/1/2015,350,4/15/2015,     ,          
CA,2011,074491S,SuperOne TM,HIB SYR LIL' KIM TM PP19547,5,10.5,48,10,     ,48,4/15/2015,     ,          ,     ,          
CA,2011,074832S,SuperTwo,HIB SYR SUGAR TIP R PP20579,5,17,     ,5,     ,401,4/1/2015,     ,          ,     ,          
OR,2013,88392,#2,HUMULUS X CRYSTAL,4,16.75,     ,5,1,     ,          ,     ,          ,     ,          
OR,2013,88405,#5 STAKED,HUMULUS X NEWPORT,5,27.5,     ,5,156,     ,          ,     ,          ,     ,          
CA,2011,074532S,SuperTwo,HYD A INVINCE SPIRIT R PP20765,3,16,15,5,     ,"3,009",11/25/2014,"3,009",2/1/2015,     ,          
OR,2011,019212S,SuperTwo,HYD ARB WHITE DOME R PP14168,3,17,     ,5,190,     ,          ,     ,          ,     ,          
OR,2013,92752,#2,HYD M ENCHANTRESS R PPAF,5,17,10,5,"1,675",     ,          ,     ,          ,     ,          
CA,2011,074562S,SuperTwo,HYD MAC CTYLN TM PARIS PP10906,5,17,19,5,19,19,12/31/2014,     ,          ,     ,          
CA,2011,074542S,SuperTwo,HYD MAC CTYLN TM RIO,5,17,     ,5,55,55,12/31/2014,     ,          ,     ,          
CA,2012,77465,#5,HYD MAC LD R BIG EASY PPAF,5,24,     ,5,34,34,12/31/2014,     ,          ,     ,          
OR,2011,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,5,17,15,5,"2,398",     ,          ,     ,          ,     ,          
OR,2011,74585,#5,HYD MAC LD R STARLIGHT PP20019,5,24,     ,5,40,     ,          ,     ,          ,     ,          
OR,2014,089932S,SuperTwo,HYD MAC PARAPLU TM PPAF,5,17,25,5,25,     ,          ,     ,          ,     ,          
CA,2014,089951S,SuperOne TM,HYD P LITTLE QUICK FIRE R PPAF,3,10.5,18,10,13,18,2/1/2015,     ,          ,     ,          
OR,2012,080952S,SuperTwo,HYD PAN BOBO R PP22782,3,17,10,5,10,     ,          ,     ,          ,     ,          
CA,2014,89945,#5,HYD PAN FIRE LIGHT TM PPAF,3,24,31,5,31,31,2/1/2015,     ,          ,     ,          
CA,2011,74615,#5,HYD PAN PINKY WINKY TM PP16166,3,24,21,5,50,50,2/1/2015,     ,          ,     ,          
CA,2011,074601S,SuperOne TM,HYD PAN QUICK FIRE R PP16812,3,10.5,11,10,390,"1,005",2/1/2015,     ,          ,     ,          
OR,2013,93172,#2,HYD QUER MUNCHKIN,5,16.5,21,5,21,     ,          ,     ,          ,     ,          
OR,2013,080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,5,10.5,     ,10,173,     ,          ,     ,          ,     ,          
CA,2013,080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,5,10.5,10,10,188,188,4/1/2015,     ,          ,     ,          
OR,2013,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,5,17,     ,5,288,457,10/1/2014,     ,          ,     ,          
CA,2013,65385,#5,HYPERICUM AN IGNITE RED P19468,5,23.5,5,5,     ,5,3/1/2015,     ,          ,     ,          
CA,2013,080892S,SuperTwo,HYPERICUM K BLUES FSTVL TM PAF,4,17,     ,5,     ,299,3/1/2015,     ,          ,     ,          
OR,2014,086352S,SuperTwo,ILEX VERT MR POPPINS R,3,16.5,     ,5,     ,104,10/1/2014,     ,          ,     ,          
OR,2012,74955,#5,ILEX X CASTLE SPIRE R PP14310,5,24.5,     ,5,     ,513,6/1/2015,     ,          ,     ,          
OR,2012,074942S,SuperTwo,ILEX X CASTLE WALL TM PP14308,5,16.5,27,5,28,     ,          ,     ,          ,     ,          
OR,2011,21093,#3,ILEX X SCALLYWAG TM PP21941,5,24.5,24,5,24,     ,          ,     ,          ,     ,          
OR,2011,074662S,SuperTwo,KOLKWITZIA AMA DREAM CATCHR TM,4,17,6,5,6,     ,          ,     ,          ,     ,          
OR,2011,36255,#5,LABURNUM ANA COLUMNARIS,5,35,     ,5,     ,204,4/15/2015,     ,          ,     ,          
CA,New ,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,4,9,28,10,28,28,11/25/2014,     ,          ,     ,          
OR,2013,84395,#5 STAKED,LONICERA PCHES & CREAM PP21839,4,27.5,11,5,11,11,5/1/2015,     ,          ,     ,          
CA,2011,67832,#2 STAKED,LONICERA SEMP MAJOR WHEELER,4,16.5,21,5,     ,21,4/1/2015,     ,          ,     ,          
CA,2010,06109MT,#10 Tall TREE,MALUS X ANNA APPLE,5,48.5,     ,     ,16,16,2/1/2015,     ,          ,     ,          
CA,2010,05898MT,#10 Tall TREE,MALUS X HONEYCRISP TM APPLE,4,48.5,13,     ,13,13,2/1/2015,     ,          ,     ,          
CA,2010,05896MT,#10 Tall TREE,MALUS X RED DELICIOUS APPLE,4,48.5,3,     ,3,3,2/1/2015,     ,          ,     ,          
OR,2012,081521S,SuperOne TM STAKED,PARTH Q RED WALL TM PPAF,3,10.5,31,10,31,31,5/1/2015,     ,          ,     ,          
OR,2011,074671S,SuperOne TM,PHYSOCARPUS COPPRTNA TM P16371,3,10.5,     ,10,47,     ,          ,     ,          ,     ,          
OR,2013,68262,#2,PHYSOCARPUS OPU DART'S GOLD,3,14.25,29,5,66,     ,          ,     ,          ,     ,          
CA,2014,089982S,SuperTwo,PHYSOCARPUS TINY WINE TM PPAF,3,17,5,5,     ,5,4/1/2015,     ,          ,     ,          
OR,2012,19371,#1,PICEA GL CONICA TINY TOWER R,3,8.75,10,10,     ,10,5/1/2015,     ,          ,     ,          
OR,2013,33275,#5,PICEA GL DENSATA WELLS' WEEPER,2,41.5,16,5,16,     ,          ,     ,          ,     ,          
OR,2011,64832,#2,PICEA OMORIKA NANA,4,27.5,5,5,4,     ,          ,     ,          ,     ,          
OR,2013,03843M,#10 Squat,PICEA PUN BABY BLUE EYES,2,79,2,2,2,     ,          ,     ,          ,     ,          
OR,2012,44635,#5,PICEA PUN ISELI FASTIGATE,3,41.5,6,5,6,6,5/1/2015,     ,          ,     ,          
OR,2014,03874M,#10 Squat,PICEA PUN SPARKLER R,2,79,2,2,2,2,5/1/2015,     ,          ,     ,          
OR,2010,19395,#5,PICEA PUN THE BLUES,2,41.5,22,5,22,     ,          ,     ,          ,     ,          
OR,2011,28561,#1,PICEA PUN WALDBRUNN,2,11.5,10,10,43,     ,          ,     ,          ,     ,          
OR,2012,49095,#5,PINUS MUGO BIG TUNA,2,23.5,26,5,26,     ,          ,     ,          ,     ,          
OR,2012,49075,#5,PINUS MUGO MOPS,2,23.5,12,5,     ,12,5/15/2015,     ,          ,     ,          
OR,2014,51175,#5,PINUS MUGO SLOWMOUND,2,23.5,27,5,27,     ,          ,     ,          ,     ,          
OR,2012,49145,#5,PINUS SYL GLOBOSA VIRIDIS,3,41.5,5,5,5,     ,          ,     ,          ,     ,          
CA,2011,06797MT,#10 Tall TREE,PRUNUS PER NECTAR PEACH,5,45.5,12,     ,12,     ,          ,     ,          ,     ,          
OR,2014,43395,#5,PRUNUS WEEPING EXTRAORDNARE TM,5,40.5,7,5,     ,7,4/15/2015,     ,          ,     ,          
CA,2011,06167MT,#10 Tall TREE,PRUNUS X BEAUTY PLUM,4,48.5,9,     ,     ,9,2/1/2015,     ,          ,     ,          
CA,2011,06168MT,#10 Tall TREE,PRUNUS X BURGUNDY PLUM,5,48.5,5,     ,17,17,2/1/2015,     ,          ,     ,          
CA,2010,06143MT,#10 Tall TREE,PRUNUS X GLEASON ELBERTA PEACH,5,45.5,7,     ,7,7,2/1/2015,     ,          ,     ,          
CA,2010,05996MT,#10 Tall TREE,PRUNUS X SANTA ROSA PLUM,5,48.5,11,     ,     ,11,2/1/2015,     ,          ,     ,          
CA,2011,06110MT,#10 Tall TREE,PRUNUS X TILTON APRICOT,5,45.5,28,     ,     ,60,2/1/2015,     ,          ,     ,          
CA,2011,06146MT,#10 Tall TREE,PYRUS X BEURRE D'ANJOU PEAR,5,48.5,10,     ,     ,10,2/1/2015,     ,          ,     ,          
CA,2010,06152MT,#10 Tall TREE,PYRUS X COMICE PEAR,5,48.5,17,     ,     ,17,2/1/2015,     ,          ,     ,          
OR,2010,19772,#2,RHOD (H-1) RTR HOOPLA,4,17.5,10,5,10,     ,          ,     ,          ,     ,          
OR,2011,19795,#5,RHOD (H-1) RTR HUSKYMANIA,4,27.5,5,5,5,     ,          ,     ,          ,     ,          
OR,2013,20195,#5,RHOD (H-1) RTR MARCH MADNESS,4,27.5,5,5,5,     ,          ,     ,          ,     ,          
CA,2010,58142,#2,RIBES HERTELLUM PIXWELL,3,16.5,22,5,     ,22,11/15/2014,     ,          ,     ,          
CA,2013,79572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,5,15.5,25,5,"4,666","8,422",12/31/2014,     ,          ,     ,          
CA,2012,077481S,SuperOne TM,ROSA HOME RUN R PINK PPAF,4,10,10,10,"1,591",     ,          ,     ,          ,     ,          
CA,2012,077491S,SuperOne TM,ROSA HOME RUN R RED PP18552,4,10,     ,10,"1,915",     ,          ,     ,          ,     ,          
CA,2011,074962S,SuperTwo,ROSA OSO EASY R CHERRYPIE PPAF,4,16.5,     ,5,298,     ,          ,     ,          ,     ,          
OR,2011,074981S,SuperOne TM,ROSA OSO EASY R PAPRIKA PPAF,4,10,     ,10,1,     ,          ,     ,          ,     ,          
CA,2013,080731S,SuperOne TM,ROSA OSO EASY R STBY CR P20601,4,10,     ,10,635,     ,          ,     ,          ,     ,          
OR,2011,074972S,SuperTwo,ROSA OSO HPY TM CNDY OH!P20471,4,16.5,     ,5,404,     ,          ,     ,          ,     ,          
CA,2013,81302,#2,ROSA SWT SPOT TM CALYPSO PPAF,5,15.5,50,5,     ,50,4/1/2015,     ,          ,     ,          
OR,2013,81502,#2,ROSA SWT SPOT TM PEACH PPAF,5,15.5,7,5,     ,7,5/1/2015,     ,          ,     ,          
CA,2013,81492,#2,ROSA SWT SPOT TM RUBY PPAF,5,15.5,50,5,     ,"4,757",4/1/2015,     ,          ,     ,          
OR,2013,81392,#2,ROSA SWT SPOT TM YELLOW PPAF,5,15.5,8,5,     ,8,5/1/2015,     ,          ,     ,          
CA,2012,082275ST,#5 STAKED,ROSA-CL-CANDY LAND PPAF,5,27.5,6,5,6,     ,          ,     ,          ,     ,          
CA,2011,075415ST,#5 STAKED,ROSA-CL-SKY'S THE LIMIT TM PAF,4,27.5,6,5,6,     ,          ,     ,          ,     ,          
OR,2010,58912,#2,ROSA-CL-WILLIAM BAFFIN,3,16.75,20,5,106,106,5/1/2015,     ,          ,     ,          
OR,2011,67841,#1 STAKED,RUBUS IDEAUS FALL GOLD RASPBRY,3,9.5,     ,10,409,     ,          ,     ,          ,     ,          
OR,2012,067871S,SuperOne TM STAKED,RUBUS PRIME-JIM R BKBRY P16989,4,10.25,     ,10,56,     ,          ,     ,          ,     ,          
OR,2013,79382,#2,RUBUS RSPBRY SHRTCKE TM P22141,5,16.5,10,5,10,10,5/1/2015,     ,          ,     ,          
OR,2011,075011S,SuperOne TM,SPIRAEA DBLPLAY R ARTIST PPAF,4,10.5,39,10,39,39,4/15/2015,     ,          ,     ,          
OR,2011,075032S,SuperTwo,SPIRAEA DBLPLAY R BIGBANG PPAF,4,17,39,5,39,     ,          ,     ,          ,     ,          
OR,2011,075021S,SuperOne TM,SPIRAEA DBLPLAY R GOLD PPAF,4,10.5,40,10,40,     ,          ,     ,          ,     ,          
OR,2014,32985,#5,STYRAX FRAG FOUNTAIN TM P19664,5,40.5,5,5,5,     ,          ,     ,          ,     ,          
OR,2011,74685,#5,SYRINGA BLOOMERNG R PUR P20575,3,26,29,5,29,29,4/15/2015,     ,          ,     ,          
OR,2012,50115,#5,TAXODIUM DIS PEVE MINARET,5,41.5,     ,5,21,     ,          ,     ,          ,     ,          
OR,2012,28851,#1,TAXUS X MED HUBERS TAWNY GOLD,4,8.5,     ,10,     ,198,5/1/2015,403,5/15/2015,     ,          
OR,2011,87055,#5,THUJA KORAIENSIS,5,22,     ,5,11,     ,          ,     ,          ,     ,          
OR,2014,53932,#2,THUJA OC HIGHLIGHTS TM PP21967,5,15.5,95,5,95,     ,          ,     ,          ,     ,          
OR,2013,075052S,SuperTwo,THUJA OC NORTH POLE R PPAF,3,17,1,5,1,     ,          ,     ,          ,     ,          
OR,2011,46822,#2,THUJA OR MORGAN,5,14.25,     ,5,188,     ,          ,     ,          ,     ,          
OR,2014,55142,#2,THUJA X EMBER WAVES TM PPAF,5,15.5,     ,5,25,     ,          ,     ,          ,     ,          
OR,2011,34055,#5,THUJOPSIS DOLOBRATA NANA,5,23.5,     ,5,146,     ,          ,     ,          ,     ,          
OR,2013,56525,#5,ULMUS X FRONTIER,4,35,6,5,6,6,1/1/2015,     ,          ,     ,          
OR,2010,80361,#1,VACCINIUM CORYMBOSUM CHANDLER,4,10,14,10,14,     ,          ,     ,          ,     ,          
CA,2013,81712,#2,VACCINIUM PEACH SORBET TM PPAF,5,15.5,25,5,     ,"5,139",4/1/2015,     ,          ,     ,          
CA,2013,81702,#2,VACCINIUM X JELLY BEAN TM PPAF,4,15.5,23,5,     ,23,4/1/2015,     ,          ,     ,          
OR,2014,409762,#2,WEIGELA CRMSN KISSES TM P23654,5,14.5,100,5,     ,100,10/1/2014,     ,          ,     ,          
OR,2012,077502S,SuperTwo,WEIGELA F MY MONET R SUNST PAF,5,17.5,15,5,     ,15,4/15/2015,     ,          ,     ,          
OR,2011,74695,#5,WEIGELA FL FINE WINE TM P18513,4,23,19,5,19,     ,          ,     ,          ,     ,          
OR,2011,075082S,SuperTwo,WEIGELA FL GHOST TM PP20025,4,17,10,5,10,     ,          ,     ,          ,     ,          
OR,2011,074712S,SuperTwo,WEIGELA FL MY MONET R PP16824,4,17.5,16,5,16,     ,          ,     ,          ,     ,          
OR,2011,077512S,SuperTwo,WEIGELA FL SPILLED WINE TM PAF,4,17.5,21,5,21,     ,          ,     ,          ,     ,          
OR,2013,080942S,SuperTwo,WEIGELA SONIC BLOOM TM PNK PAF,4,18,6,5,6,     ,          ,     ,          ,     ,          
